=== 1: Old Burmese <<->> ===
== Pattern 1: -:⁵⁵:-:- ==
| ID                                     | OBurm     | Acha-LC              | Maru                | Bola                |
|----------------------------------------|-----------|----------------------|---------------------|---------------------|
|                                        | -         | ⁵⁵                   | -                   | -                   |
| 208 ("all / everything")               | Ø         | pʐa⁵⁵<pʐa⁵⁵>         | pəŋ³¹<ʃɔʔ⁵⁵>        | pɛ̃⁵⁵<ʃaʔ⁵⁵>         |
| 222 ("all / whole, the")               | Ø         | <pʐa⁵⁵>pʐa⁵⁵         | <pəŋ³¹>ʃɔʔ⁵⁵        | <pɛ̃⁵⁵>ʃaʔ⁵⁵         |
| 646 ("bark")                           | Ø         | <kʐap⁵⁵>             | <ɣɛʔ³¹>             | <ɣɛʔ>               |
| 1815 ("book")                          | Ø         | a³¹<pʐo⁵⁵>           | muk³¹<suk⁵⁵>tʃhɛʔ⁵⁵ | mau³¹<sau³¹>tʃhɛʔ⁵⁵ |
| 2331 ("cock")                          | Ø         | <kʐuaʔ⁵⁵>lɔ³¹        | <ɣɔʔ³¹>phɔ⁵⁵        | <ɣaʔ³¹>pha³⁵        |
| 2527 ("corpse")                        | Ø         | ʂɿ⁵⁵<mʐuaŋ⁵⁵>        | <mɔ̃³¹>              | <mɔ̃⁵⁵>              |
| 2801 ("damage / spoil")                | Ø         | <kʐəʔ⁵⁵>             | <lɔ̱ʔ⁵⁵>xum⁵⁵        | <la̱ʔ⁵⁵>xɔn³⁵        |
| 3316 ("dragon")                        | Ø         | <mʐui⁵⁵>tʂuŋ³¹       | <mɔ̃³¹>tʃauŋ³⁵       | <mɔ̃⁵⁵>tʃauŋ³¹       |
| 5327 ("hen")                           | Ø         | <kʐuaʔ⁵⁵>tseŋ³⁵      | <ɣɔ³¹>tsaŋ³¹        | <ɣɔʔ³¹>taŋ⁵⁵        |
| 6369 ("lightning")                     | Ø         | tshă³¹<pjik⁵⁵>pjik⁵⁵ | lɛ̱ʔ⁵⁵<tʃhat⁵⁵>      | lɛ̱p⁵⁵<tʃhak⁵⁵>      |
| 6894 ("messy, be / in chaos")          | Ø         | <kʐət⁵⁵>             | <sa̱t⁵⁵>             | <sɔt⁵⁵>             |
| 8684 ("rabbit")                        | Ø         | <pʐaŋ⁵⁵>tai⁵⁵        | <pa̱ŋ³⁵>ta̱i⁵⁵        | <paŋ³¹>tai⁵⁵        |
| 9011 ("reverse side")                  | Ø         | <phʐut⁵⁵>phʐat⁵⁵     | <phauʔ⁵⁵>           | <phauʔ⁵⁵>           |
| 12567 ("weigh (food)")                 | Ø         | <khʐaŋ⁵⁵>            | <tʃhəŋ⁵⁵>           | <tʃhɔn³⁵>           |
| 13052 ("chick")                        | Ø         | <kʐuaʔ⁵⁵>tsɔ³¹       | <ɣoʔ³¹>nau⁵⁵        | <ɣaʔ³¹>nɔ³⁵         |
| 1267 ("branch / twig")                 | aʔ<kuiṅḥ> | ʂək⁵⁵<kʐaŋ⁵⁵>        | sa̱k⁵⁵<kɔ̱ʔ⁵⁵>        | sak⁵⁵<ka̱ʔ⁵⁵>        |
| 2165 ("claw / talon")                  | lak<sañḥ> | tɕhi⁵⁵<phʐai⁵⁵>      | khjik⁵⁵<saŋ³⁵>      | la̱ʔ³¹<saŋ³⁵>        |
| 1809 ("chaotic / disorderly / messy")  | Ø         | <kʐut⁵⁵>             | <sa̱t⁵⁵>             | Ø                   |
| 6010 ("knock / strike")                | Ø         | <kʐuak⁵⁵>            | <kɔ̱ʔ⁵⁵>             | Ø                   |
| 6783 ("meal")                          | Ø         | <mʐua⁵⁵>             | <ma⁵⁵>              | Ø                   |
| 3729 ("empty")                         | Ø         | <kʐoŋ⁵⁵>             | Ø                   | <kuŋ³¹>             |
| 10942 ("support s.b. with one's hand") | Ø         | <kʐau⁵⁵>             | Ø                   | tui³¹<ʃɛ⁵⁵>         |
| 6193 ("leaf")                          | aʔ<ro₁k>  | a³¹<xʐoʔ⁵⁵>          | Ø                   | sak⁵⁵<faʔ⁵⁵>        |
| 421 ("ask s.b. to come here / fetch")  | <kho₂>    | <kʐə⁵⁵>              | Ø                   | Ø                   |

== Pattern 2: -:³⁵:³¹:⁵⁵ ==
| ID                                        | OBurm   | Acha-LC             | Maru                | Bola             |
|-------------------------------------------|---------|---------------------|---------------------|------------------|
|                                           | -       | ³⁵                  | ³¹                  | ⁵⁵               |
| 1079 ("boar (wild)")                      | Ø       | mu⁵⁵<thən³⁵>        | vɔʔ³¹<tʃauŋ³¹>      | vaʔ³¹<tʃauŋ⁵⁵>   |
| 1530 ("butterfly")                        | Ø       | phă³¹<ʐam³⁵>tʂam⁵⁵  | phə̆³¹<lɛ̱̃³¹>         | phə̆³¹<lɛ̃⁵⁵>      |
| 1726 ("cattle (common) (note:+female)")   | Ø       | n̥o³¹<tʂɔŋ³⁵>        | nŭŋ³⁵<tʃauŋ³¹>      | nɔ̆³¹<tʃauŋ⁵⁵>    |
| 1938 ("chin")                             | Ø       | pha³¹<kəŋ³⁵>        | ɛ̃³¹<thɔ̃³¹>          | ɛ̃⁵⁵<thɔ̃⁵⁵>       |
| 2298 ("cloudy, be (sky) / overcast")      | Ø       | mau³¹<tʂau³⁵>       | muk⁵⁵<tap³¹>        | mau³¹<tap⁵⁵>     |
| 2786 ("cymbals")                          | Ø       | tʂham³¹<tʂhai³⁵>    | tʃhaŋ⁵⁵<tʃhɛʔ³¹>    | tʃhaŋ³¹<tʃhɛʔ⁵⁵> |
| 3503 ("dust")                             | Ø       | ȵ̥on⁵⁵<mɔk³⁵>        | phɔ̆i³⁵<lu̱k³¹>       | phə̆³¹<lau⁵⁵>     |
| 4626 ("gather (firewood)")                | Ø       | thuaŋ³¹<ȵo³⁵>       | thõ³⁵<xɔ³¹>         | thɔ̃³⁵<xa⁵⁵>      |
| 5328 ("hen")                              | Ø       | kʐuaʔ⁵⁵<tseŋ³⁵>     | ɣɔ³¹<tsaŋ³¹>        | ɣɔʔ³¹<taŋ⁵⁵>     |
| 6037 ("lad / chap (young)")               | Ø       | tʂă³¹<ʐam³⁵>        | tsɔ̆³⁵<ɣɛ̃³¹>         | i³¹<ʒam⁵⁵>       |
| 6050 ("flight of steps")                  | Ø       | tɕam³¹<thək³⁵>      | tsam³¹<thɔ̃³¹>       | tsam⁵⁵<thɔ̃⁵⁵>    |
| 6691 ("mare")                             | Ø       | m̥ʐaŋ³¹<tseŋ³⁵>      | mjɔ̃³⁵<tsaŋ³¹>       | mjɔ̃³¹<taŋ⁵⁵>     |
| 8003 ("persimmon")                        | Ø       | maʔ³¹<xo³⁵>liŋ⁵⁵    | pa³¹<kɔ³¹>ʃi³⁵      | pui⁵⁵<ka⁵⁵>ʃɿ³⁵  |
| 9807 ("shed (tears)")                     | Ø       | <jat³⁵>             | <juʔ³¹>             | <ju⁵⁵>           |
| 10345 ("sow")                             | Ø       | o⁵⁵<tseŋ³⁵>         | vɔʔ³¹<tsaŋ³¹>       | vaʔ³¹<taŋ⁵⁵>     |
| 974 ("blanket (felt)")                    | Ø       | mi⁵⁵phaʔ³¹<tʂuaŋ³⁵> | Ø                   | sau³¹<kau⁵⁵>     |
| 1252 ("braid / plait")                    | Ø       | u³¹<tʂuak³⁵>        | Ø                   | tshɛ̃⁵⁵<nak⁵⁵>    |
| 1876 ("cheek")                            | Ø       | pha³¹<kap³⁵>        | Ø                   | nə̆³¹<kɛ̱̃⁵⁵>       |
| 3370 ("drill")                            | Ø       | <lan³⁵>             | Ø                   | <la̱ŋ⁵⁵>          |
