# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	TOKENS	STRUCTURE	ALIGNMENT	CROSSIDS
#
140	Rangoon	Adam's apple	140	ɑ²²si⁵³	/ʔ ɑ ²² + s i ⁵³	i n t + i n t	/ʔ ɑ ²² + s - i ⁵³	5 2
5074	Atsi	Adam's apple	140	khjuŋ²¹tsui⁵¹	kʰ j u ŋ ²¹ + ts u i ⁵¹	i m n c t + i m n t	kʰ j u ŋ ²¹ + ts u i ⁵¹	1 2
6848	Maru	Adam's apple	140	laŋ²¹pau⁵⁵	l a ŋ ²¹ + p au ⁵⁵	i n c t + i n t	l a ŋ ²¹ + p au ⁵⁵	3 4
#
631	Rangoon	Buddha	629	bu⁵³jɑ⁵⁵	b u ⁵³ + /ʔ j ɑ ⁵⁵	i n t + i m n t	b u ⁵³ + /ʔ j ɑ ⁵⁵	6 7
2410	Achang_Longchuan	Buddha	629	phă⁵⁵ʐa⁵⁵	pʰ ă ⁵⁵ + ʐ a ⁵⁵	i n t + i n t	pʰ ă ⁵⁵ + ʐ - a ⁵⁵	6 7
5559	Atsi	Buddha	629	phə̆⁵⁵ʒa⁵¹	pʰ ə̆ ⁵⁵ + ʒ a ⁵¹	i n t + i n t	pʰ ə̆ ⁵⁵ + ʒ - a ⁵¹	6 7
8945	Bola	Buddha	629	phə̆⁵⁵ʒa⁵⁵	ph ə̆ ⁵⁵ + ʒ a ⁵⁵	i n t + i n t	ph ə̆ ⁵⁵ + ʒ - a ⁵⁵	6 7
10617	Lashi	Buddha	629	puŋ³³kji̱⁵⁵	/ʔ p u ŋ ³³ + ˀk j i ⁵⁵	i m n i t + i m n t	ŋ p u ³³ + ˀk j i ⁵⁵	8 7
#
163	Rangoon	Chinese (Han)	163	tɑ⁵³joʔ⁴lu²²mjo⁵⁵	t ɑ ⁵³ + /ʔ j o ʔ ⁴ + l u ²² + m j o ⁵⁵	i n t + i m n c t + i n t + i m n t	t ɑ ⁵³ + /ʔ j o ʔ ⁴ + l u ²² + m j o ⁵⁵	19 20 21 22
1983	Achang_Longchuan	Chinese (Han)	163	kă³¹phuaŋ³¹	k ă ³¹ + pʰ ua ŋ ³¹	i n t + i n c t	k ă - ³¹ + pʰ ua ŋ ³¹	13 8651
3636	Xiandao	Chinese (Han)	163	khaʔ³¹phɔŋ³¹	kh a ʔ ³¹ + ph ɔ ŋ ³¹	i n c t + i n c t	kh a ʔ ³¹ + ph ɔ ŋ ³¹	13 8651
5097	Atsi	Chinese (Han)	163	mji²¹va²¹	m j i ²¹ + v a ²¹	i m n t + i n t	m j i ²¹ + v a - ²¹	15 8651
6869	Maru	Chinese (Han)	163	xa³¹vɔ³¹	x a ³¹ + v ɔ ³¹	i n t + i n t	x a ³¹ + v ɔ - ³¹	18 8651
8503	Bola	Chinese (Han)	163	xɛ⁵⁵va³¹	x ɛ ⁵⁵ + v a ³¹	i n t + i n t	x ɛ ⁵⁵ + v a - ³¹	16 8651
10227	Lashi	Chinese (Han)	163	lə̆³¹xe̱i³³	l ə̆ ³¹ + ˀx ei ³³	i n t + i n t	l ə̆ ³¹ + ˀx ei - ³³	17 8651
#
728	Rangoon	February	725	kɑ̃²²shõ²²	k ɑ̃ ∼ ²² + sʰ õ ∼ ²²	i n c t + i n c t	k ɑ̃ ∼ ²² + sʰ õ ∼ ²²	35 9509
2491	Achang_Longchuan	February	725	sək⁵⁵pau⁵¹l̥ɔ³⁵	s ə k ⁵⁵ + p au ⁵¹ + l̥ ɔ ³⁵	i n c t + i n t + i n t	s ə k ⁵⁵ + p au ⁵¹ + l̥ ɔ ³⁵	9509 28 29
4062	Xiandao	February	725	lɤn³¹sɔŋ³⁵	l ɤ n ³¹ + s ɔ ŋ ³⁵	i n c t + i n c t	l ɤ n ³¹ + s ɔ ŋ ³⁵	30 9509
5657	Atsi	February	725	lŏ̱⁵⁵mo⁵⁵i⁵⁵khjap⁵⁵	ˀl ŏ ⁵⁵ + m o ⁵⁵ + /ʔ i ⁵⁵ + kʰ j a p ⁵⁵	i n t + i n t + i n t + i m n c t	ˀl ŏ - ⁵⁵ + m o - ⁵⁵ + /ʔ - i - ⁵⁵ + kʰ j a p ⁵⁵	30 9509 31 32
7366	Maru	February	725	lɔ̱⁵⁵ʃi̱k⁵⁵khjɛʔ⁵⁵	ˀl ɔ ⁵⁵ + ˀʃ i k ⁵⁵ + kh j ɛ ʔ ⁵⁵	i n t + i n c t + i m n c t	ˀl ɔ - ⁵⁵ + ˀʃ i k ⁵⁵ + kh j ɛ ʔ ⁵⁵	30 9509 31
9038	Bola	February	725	ə³⁵jɛ³¹	/ʔ ə ³⁵ + /ʔ j ɛ ³¹	i n t + i m n t	/ʔ ə ³⁵ + /ʔ j ɛ - ³¹	33 31
10693	Lashi	February	725	lə̆⁵⁵mo⁵⁵ə̱k⁵⁵khjap⁵⁵	l ə̆ ⁵⁵ + m o ⁵⁵ + ˀ/ʔ ə k ⁵⁵ + kh j a p ⁵⁵	i n t + i n t + i n c t + i m n c t	l ə̆ - ⁵⁵ + m o - ⁵⁵ + ˀ/ʔ - ə k ⁵⁵ + kh j a p ⁵⁵	30 9509 31 34
#
846	Rangoon	I	843	ŋɑ²²	ŋ ɑ ²²	i n t	ŋ ɑ ²²	44
2602	Achang_Longchuan	I	843	ŋɔ⁵⁵	ŋ ɔ ⁵⁵	i n t	ŋ ɔ ⁵⁵	44
4167	Xiandao	I	843	ŋɔ⁵⁵	ŋ ɔ ⁵⁵	i n t	ŋ ɔ ⁵⁵	44
5776	Atsi	I	843	ŋo⁵¹	ŋ o ⁵¹	i n t	ŋ o ⁵¹	44
7478	Maru	I	843	ŋɔ³¹	ŋ ɔ ³¹	i n t	ŋ ɔ ³¹	44
9159	Bola	I	843	ŋa⁵⁵	ŋ a ⁵⁵	i n t	ŋ a ⁵⁵	44
10805	Lashi	I	843	ŋo³¹	ŋ o ³¹	i n t	ŋ o ³¹	44
11817	Old_Burmese	I	843	ṅa	ŋ a ²²	i n t	ŋ a ²²	44
#
727	Rangoon	January	724	tɑ̃²²khu⁵⁵	t ɑ̃ ∼ ²² + kʰ u ⁵⁵	i n c t + i n t	t ɑ̃ ∼ ²² + kʰ - u - ⁵⁵	51 50
2490	Achang_Longchuan	January	724	tă³¹pau⁵¹l̥ɔ³⁵	t ă ³¹ + p au ⁵¹ + l̥ ɔ ³⁵	i n t + i n t + i n t	t ă ³¹ + p au ⁵¹ + l̥ ɔ ³⁵	45 46 47
4061	Xiandao	January	724	lɤn³¹ta³¹	l ɤ n ³¹ + t a ³¹	i n c t + i n t	l ɤ n ³¹ + t a ³¹	30 47
