# Wordlist

# DATA
ID	DOCULECT	CONCEPT	GLOSSID	IPA	ALIGNMENT	CROSSIDS	TMP_STRUCTURE	TMP_TOKENS
#
6348	Maru	I [first person singular]	79	ŋɔ³¹	ŋ ɔ ³¹	1	i r t	ŋ ɔ ³¹
6631	Achang_Longchuan	I [first person singular]	79	ŋɔ⁵⁵	ŋ ɔ ⁵⁵	1	i r t	ŋ ɔ ⁵⁵
#
6523	Achang_Longchuan	above	1	a³¹lum³¹	/ʔ a ³¹ + l u m ³¹	2 3	i r t + i r t	ʔ a ³¹ + l um ³¹
6583	Maru	above	1	tʰɔʔ⁵⁵mɛ³¹	t ɔ ʔ ⁵⁵ + m ɛ ³¹	4 5	i r t + i r t	t ɔʔ ⁵⁵ + m ɛ ³¹
#
2	Achang_Longchuan	all	2	pʐa⁵⁵pʐa⁵⁵	p ʐ a ⁵⁵ + p ʐ a - ⁵⁵	6 7	i m r t + i m r t	pʐ ʐ ʐa ⁵⁵ + pʐ ʐ ʐa ⁵⁵
10	Maru	all	2	pəŋ³¹ʃɔʔ⁵⁵	p ə ŋ ³¹ + ʃ - ɔ ʔ ⁵⁵	8 7	i r t + i r t	p əŋ ³¹ + ʃ ɔʔ ⁵⁵
#
9623	Achang_Longchuan	angry	3	tsit⁵⁵	ts i t ⁵⁵	9	i r t	ts it ⁵⁵
11167	Maru	angry	3	na̱k⁵⁵ jo³¹	ˀn a k ⁵⁵ + /ʔ j o ³¹	10 11	i r t + i m r t	ˀn ak ⁵⁵ + ʔj j jo ³¹
#
11192	Achang_Longchuan	ask / question (v.)	4	ȵi³¹	ȵ i ³¹	12	i r t	ȵ i ³¹
11195	Maru	ask / question (v.)	4	mjik⁵⁵	m j i k ⁵⁵	13	i m r t	mj j jik ⁵⁵
#
10536	Achang_Longchuan	assess / estimate (v.)	5	tak⁵⁵	t a k ⁵⁵	14	i r t	t ak ⁵⁵
#
129	Achang_Longchuan	bad	6	tɕa⁵⁵	tɕ a ⁵⁵	15	i r t	tɕ a ⁵⁵
136	Maru	bad	6	kɔi³⁵	k ɔi ³⁵	16	i r t	k ɔi ³⁵
#
10218	Achang_Longchuan	bald	7	liŋ⁵⁵	l i ŋ ⁵⁵	17	i r t	l iŋ ⁵⁵
11433	Maru	bald	7	tauŋ³⁵	t au ŋ ³⁵	18	i r t	t auŋ ³⁵
#
10823	Achang_Longchuan	bark (v.)	8	kʐap⁵⁵	k ʐ a p ⁵⁵	19	i m r t	kʐ ʐ ʐap ⁵⁵
11328	Maru	bark (v.)	8	ɣɛʔ³¹	ɣ ɛ ʔ ³¹	20	i r t	ɣ ɛʔ ³¹
#
11001	Achang_Longchuan	bear (fruit) (v.)	9	ʂə³¹	ʂ ə ³¹	21	i r t	ʂ ə ³¹
11004	Maru	bear (fruit) (v.)	9	ʃi³⁵	ʃ i ³⁵	21	i r t	ʃ i ³⁵
#
10585	Achang_Longchuan	beautiful	10	tɔm³⁵	t ɔ m ³⁵	22	i r t	t ɔm ³⁵
10588	Maru	beautiful	10	jauŋ⁵⁵	/ʔ j au ŋ ⁵⁵	23	i m r t	ʔj j jauŋ ⁵⁵
#
6524	Achang_Longchuan	below, under	11	a³¹tʰe⁵¹	/ʔ a ³¹ + t e ⁵¹	24 25	i r t + i r t	ʔ a ³¹ + t e ⁵¹
6584	Maru	below, under	11	ɔ³¹mɛ³¹	/ʔ ɔ ³¹ + m ɛ ³¹	24 26	i r t + i r t	ʔ ɔ ³¹ + m ɛ ³¹
#
310	Achang_Longchuan	big	12	kʐə³¹	k ʐ ə ³¹	28	i m r t	kʐ ʐ ʐə ³¹
317	Maru	big	12	ɣə³⁵	ɣ ə ³⁵	29	i r t	ɣ ə ³⁵
#
11011	Achang_Longchuan	bitter	13	xɔ³¹	x ɔ ³¹	30	i r t	x ɔ ³¹
11014	Maru	bitter	13	khɔ³⁵	kh ɔ ³⁵	30	i r t	kh ɔ ³⁵
#
367	Achang_Longchuan	black	14	lɔk⁵⁵	l ɔ k ⁵⁵	31	i r t	l ɔk ⁵⁵
374	Maru	black	14	nɔʔ³¹	n ɔ ʔ ³¹	32	i r t	n ɔʔ ³¹
#
11376	Achang_Longchuan	blind, be (v.)	15	tset⁵⁵	ts e t ⁵⁵	33	i r t	ts et ⁵⁵
11379	Maru	blind, be (v.)	15	tʃik⁵⁵	tʃ i k ⁵⁵	34	i r t	tʃ ik ⁵⁵
#
10634	Achang_Longchuan	bloated, feel (of the stomach) (v.)	16	phuʔ³¹	pʰ u ʔ ³¹	35	i r t	pʰ uʔ ³¹
10692	Maru	bloated, feel (of the stomach) (v.)	16	ta̱ŋ³⁵	ˀt a ŋ ³⁵	36	i r t	ˀt aŋ ³⁵
#
9960	Maru	blue	17	ŋjuk³¹	ŋ j u k ³¹	38	i m r t	ŋj j juk ³¹
11491	Achang_Longchuan	blue	17	sɔm³¹	s ɔ m ³¹	37	i r t	s ɔm ³¹
#
11065	Achang_Longchuan	borrow (money) (v.)	18	m̥ɔ³¹	m̥ ɔ ³¹	39	i r t	m̥ ɔ ³¹
11159	Maru	borrow (money) (v.)	18	tʃi̱k⁵⁵	ˀtʃ i k ⁵⁵	40	i r t	ˀtʃ ik ⁵⁵
#
11531	Achang_Longchuan	bright	19	səŋ³¹	s ə ŋ ³¹	41	i r t	s əŋ ³¹
11534	Maru	bright	19	lɛŋ³⁵	l ɛ ŋ ³⁵	42	i r t	l ɛŋ ³⁵
#
9687	Achang_Longchuan	broken, be (bowls) (v.)	20	kʐop⁵⁵	k ʐ o p ⁵⁵	43	i m r t	kʐ ʐ ʐop ⁵⁵
10453	Maru	broken, be (bowls) (v.)	20	kjøʔ³¹	k j ø ʔ ³¹	43	i m r t	kj j jøʔ ³¹
#
10355	Maru	bunch (of vegetables)	21	khəŋ³⁵	kh ə ŋ ³⁵	45	i r t	kh əŋ ³⁵
11298	Achang_Longchuan	bunch (of vegetables)	21	pan⁵⁵	p a n ⁵⁵	44	i r t	p an ⁵⁵
#
9931	Maru	called, be / named (v.)	22	jɔ̃³¹	/ʔ j ɔ̃ ∼ ³¹	47	i m r t	ʔj j jɔ̃∼ ³¹
10947	Achang_Longchuan	called, be / named (v.)	22	kʐə⁵⁵	k ʐ ə ⁵⁵	46	i m r t	kʐ ʐ ʐə ⁵⁵
#
10266	Achang_Longchuan	chat (v.)	23	pə³¹xua³⁵kʐai⁵⁵	p ə ³¹ + x u a ³⁵ + k ʐ ai ⁵⁵	48 49 50	i r t + i m r t + i m r t	p ə ³¹ + xu u ua ³⁵ + kʐ ʐ ʐai ⁵⁵
10269	Maru	chat (v.)	23	pə̆⁵⁵məŋ³¹	p ə̆ ⁵⁵ + m ə ŋ ³¹	48 51	i r t + i r t	p ə̆ ⁵⁵ + m əŋ ³¹
#
10655	Achang_Longchuan	chisel / bore (a hole) (v.)	24	thoŋ³¹	tʰ o ŋ ³¹	53	i r t	tʰ oŋ ³¹
10658	Maru	chisel / bore (a hole) (v.)	24	kja̱uŋ³⁵	ˀk j au ŋ ³⁵	54	i m r t	ˀkj j jauŋ ³⁵
#
9896	Achang_Longchuan	chop / cut (meat) (v.)	25	tuak³⁵	t u a k ³⁵	55	i m r t	tu u uak ³⁵
9899	Maru	chop / cut (meat) (v.)	25	tʃɛʔ³¹	tʃ ɛ ʔ ³¹	56	i r t	tʃ ɛʔ ³¹
#
10198	Achang_Longchuan	cloudy, be (sky) / overcast (v.)	26	mau³¹tʂau³⁵	m au - ³¹ + tʂ au - ³⁵	57 58	i r t + i r t	m au ³¹ + tʂ au ³⁵
10201	Maru	cloudy, be (sky) / overcast (v.)	26	muk⁵⁵tap³¹	m u k ⁵⁵ + t a p ³¹	57 58	i r t + i r t	m uk ⁵⁵ + t ap ³¹
#
672	Achang_Longchuan	cold (of temperature)	27	kʐuat⁵⁵	k ʐ ua t ⁵⁵	59	i m r t	kʐ ʐ ʐuat ⁵⁵
677	Maru	cold (of temperature)	27	kjɔʔ³¹	k j ɔ ʔ ³¹	59	i m r t	kj j jɔʔ ³¹
#
9981	Maru	collapse / cave in / fall down (v.)	28	kjøʔ³¹	k j ø ʔ ³¹	61	i m r t	kj j jøʔ ³¹
10104	Achang_Longchuan	collapse / cave in / fall down (v.)	28	ȵɔp⁵⁵	ȵ ɔ p ⁵⁵	60	i r t	ȵ ɔp ⁵⁵
#
11471	Achang_Longchuan	compensate (v.)	29	tɕhap⁵⁵	tɕʰ a p ⁵⁵	62	i r t	tɕʰ ap ⁵⁵
11474	Maru	compensate (v.)	29	tshɛʔ⁵⁵	tsh ɛ ʔ ⁵⁵	62	i r t	tsh ɛʔ ⁵⁵
#
3334	Achang_Longchuan	correct (right)	30	tsɿ⁵⁵	ts ɿ ⁵⁵	63	i r t	ts ɿ ⁵⁵
3343	Maru	correct (right)	30	tʃɔ³¹	tʃ ɔ ³¹	64	i r t	tʃ ɔ ³¹
#
11245	Achang_Longchuan	cover (the mouth) (v.)	31	ət³⁵	/ʔ ə t ³⁵	65	i r t	ʔ ət ³⁵
11248	Maru	cover (the mouth) (v.)	31	tshuk⁵⁵	tsh u k ⁵⁵	66	i r t	tsh uk ⁵⁵
#
11228	Achang_Longchuan	crawl (of people) (v.)	32	to³¹	t o ³¹	67	i r t	t o ³¹
11231	Maru	crawl (of people) (v.)	32	tu³⁵	t u ³⁵	67	i r t	t u ³⁵
#
10638	Achang_Longchuan	crow (of cocks) (v.)	33	thun⁵⁵	tʰ u n ⁵⁵	68	i r t	tʰ un ⁵⁵
10641	Maru	crow (of cocks) (v.)	33	tu̱m³¹	ˀt u m ³¹	68	i r t	ˀt um ³¹
#
10784	Achang_Longchuan	cut (meat) (v.)	34	xa³¹	x a ³¹	69	i r t	x a ³¹
10787	Maru	cut (meat) (v.)	34	la̱i³⁵	ˀl ai ³⁵	70	i r t	ˀl ai ³⁵
#
9663	Maru	damaged, be (house) / cave in (v.)	35	ɣum³¹	ɣ u m ³¹	72	i r t	ɣ um ³¹
10292	Achang_Longchuan	damaged, be (house) / cave in (v.)	35	kʐop⁵⁵	k ʐ o p ⁵⁵	71	i m r t	kʐ ʐ ʐop ⁵⁵
#
6142	Achang_Longchuan	dark	36	ɕin⁵⁵	ɕ i n ⁵⁵	73	i r t	ɕ in ⁵⁵
6201	Maru	dark	36	nɔʔ³¹	n ɔ ʔ ³¹	74	i r t	n ɔʔ ³¹
#
10383	Achang_Longchuan	deaf, be (v.)	37	kəŋ³¹	k ə ŋ ³¹	75	i r t	k əŋ ³¹
10386	Maru	deaf, be (v.)	37	tʃik⁵⁵	tʃ i k ⁵⁵	76	i r t	tʃ ik ⁵⁵
#
10176	Achang_Longchuan	deep	38	lək⁵⁵	l ə k ⁵⁵	77	i r t	l ək ⁵⁵
10673	Maru	deep	38	nɔʔ³¹	n ɔ ʔ ³¹	78	i r t	n ɔʔ ³¹
#
10806	Achang_Longchuan	difficult	39	ko³¹	k o ³¹	79	i r t	k o ³¹
10809	Maru	difficult	39	ɣuk⁵⁵	ɣ u k ⁵⁵	80	i r t	ɣ uk ⁵⁵
#
936	Achang_Longchuan	dirty	40	ək³⁵	/ʔ ə k ³⁵	81	i r t	ʔ ək ³⁵
943	Maru	dirty	40	la̱u³⁵	ˀl au ³⁵	82	i r t	ˀl au ³⁵
#
10312	Achang_Longchuan	divide / share (things) (v.)	41	miaŋ³⁵	m i a ŋ ³⁵	83	i m r t	mi i iaŋ ³⁵
10315	Maru	divide / share (things) (v.)	41	kɛ̃³¹	k ɛ̃ ∼ ³¹	84	i r t	k ɛ̃∼ ³¹
#
9660	Achang_Longchuan	do / make (v.)	42	xot⁵⁵	x o t ⁵⁵	85	i r t	x ot ⁵⁵
10302	Maru	do / make (v.)	42	ka̱t⁵⁵	ˀk a t ⁵⁵	85	i r t	ˀk at ⁵⁵
#
9608	Maru	drunk	43	jik³¹	/ʔ j i k ³¹	87	i m r t	ʔj j jik ³¹
10049	Achang_Longchuan	drunk	43	et⁵⁵	/ʔ e t ⁵⁵	86	i r t	ʔ et ⁵⁵
#
1037	Achang_Longchuan	dry	44	səʔ⁵⁵	s ə ʔ ⁵⁵	88	i r t	s əʔ ⁵⁵
1044	Maru	dry	44	fai⁵⁵	f ai ⁵⁵	89	i r t	f ai ⁵⁵
#
9668	Achang_Longchuan	dull	45	təm³⁵	t ə m ³⁵	90	i r t	t əm ³⁵
9671	Maru	dull	45	tam³⁵	t a m ³⁵	90	i r t	t am ³⁵
#
6144	Achang_Longchuan	early	46	nɔʔ⁵⁵	n ɔ ʔ ⁵⁵	91	i r t	n ɔʔ ⁵⁵
6202	Maru	early	46	nɔʔ⁵⁵	n ɔ ʔ ⁵⁵	91	i r t	n ɔʔ ⁵⁵
#
10845	Achang_Longchuan	easy	47	ŋai⁵⁵	ŋ ai ⁵⁵	92	i r t	ŋ ai ⁵⁵
10848	Maru	easy	47	lɔi³¹	l ɔi ³¹	93	i r t	l ɔi ³¹
#
